"uid","username","home_school","away_school","actual_home_score","actual_away_score","home_score","home_nickname","away_score","away_nickname","points","timestamp"
"426","Section QQ","Stanford","Washington State","14","52","24",NULL,"35",NULL,"56","2022-11-03 10:04:58"
"453","Snorlax94","Stanford","Washington State","14","52","16","Need One Actual Touchdown","14","Cougin’ It","18","2022-11-03 06:50:16"
"473","CardinalSagehen","Stanford","Washington State","14","52","20",NULL,"17",NULL,"10","2022-11-03 11:52:16"
"515","qwerty49","Stanford","Washington State","14","52","20",NULL,"24",NULL,"48","2022-11-04 19:30:03"
"558","PAsportsfan","Stanford","Washington State","14","52","16",NULL,"24",NULL,"55","2022-11-04 14:26:10"
"626","JohnVernon","Stanford","Washington State","14","52","23",NULL,"31",NULL,"55","2022-11-04 14:02:26"
"706","PVTree","Stanford","Washington State","14","52","27","Los Arboles","21","Otros Gatitos","2","2022-11-05 12:33:59"
"725","chrisk","Stanford","Washington State","14","52","24","Farm","21","Palouse","10","2022-11-04 02:58:36"
"819","ADPinWDC","Stanford","Washington State","14","52","16","Plant","23","Animal","52","2022-11-04 16:11:27"
"842","Austroturf","Stanford","Washington State","14","52","20",NULL,"24",NULL,"48","2022-11-03 16:48:20"
"1002","MVDan","Stanford","Washington State","14","52","20",NULL,"17",NULL,"10","2022-11-03 18:01:07"
"1036","Brickcity","Stanford","Washington State","14","52","16",NULL,"30",NULL,"59","2022-11-04 16:23:11"
"1209","MV72018","Stanford","Washington State","14","52","19","Boring Tunnel Machinists","27","Pullman Solitaries","55","2022-11-04 12:15:46"
"1244","thedish","Stanford","Washington State","14","52","17",NULL,"38",NULL,"61","2022-11-03 13:08:38"
"1379","skip75","Stanford","Washington State","14","52","16",NULL,"14",NULL,"18","2022-11-05 12:06:12"
"10","82lsju","Utah","Stanford","42","7","52","first time I have ever picked against us ;(","12","four field goals","23","2022-11-10 10:18:44"
"29","JeffInCorvallis","Utah","Stanford","42","7","52",NULL,"7",NULL,"37","2022-11-11 00:39:46"
"31","Leftcoast","Utah","Stanford","42","7","41",NULL,"15",NULL,"39","2022-11-12 03:21:15"
"33","Mick","Utah","Stanford","42","7","48","Kyle Petrucci's current school","14","Kyle Petrucci's former school","27","2022-11-10 19:33:37"
"44","VFRing98","Utah","Stanford","42","7","38",NULL,"12",NULL,"39","2022-11-11 18:00:06"
"46","akiddoc","Utah","Stanford","42","7","52",NULL,"6",NULL,"30","2022-11-11 07:41:48"
"58","george","Utah","Stanford","42","7","56",NULL,"10",NULL,"21","2022-11-11 15:50:05"
"61","Renaissance Man","Utah","Stanford","42","7","42",NULL,"3",NULL,"49","2022-11-10 13:34:46"
"66","pefloresjr","Utah","Stanford","42","7","21",NULL,"23",NULL,"7","2022-11-10 21:42:46"
"90","CompSci87","Utah","Stanford","42","7","100",NULL,"0",NULL,"17","2022-11-10 14:02:50"
"101","Hurlburt88","Utah","Stanford","42","7","40",NULL,"10",NULL,"44","2022-11-12 09:08:31"
"125","vataha","Utah","Stanford","42","7","42","""Get me two""","17","Empty Backfield","37","2022-11-10 19:08:32"
"133","pokey","Utah","Stanford","42","7","41",NULL,"16",NULL,"31","2022-11-10 14:16:34"
"196","Langdude","Utah","Stanford","42","7","38",NULL,"16",NULL,"27","2022-11-12 15:07:29"
"211","martyup","Utah","Stanford","42","7","49","Hatchets","50","Wood Chips","2","2022-11-10 15:25:43"
"243","Papa John","Utah","Stanford","42","7","24","Current Native Americans","27","Former Native Americans","5","2022-11-10 13:03:05"
"254","tcufrog","Utah","Stanford","42","7","45",NULL,"13",NULL,"39","2022-11-10 10:40:09"
"265","bl82","Utah","Stanford","42","7","56",NULL,"7",NULL,"28","2022-11-10 11:00:34"
"267","cardcrimson","Utah","Stanford","42","7","45",NULL,"16",NULL,"29","2022-11-10 12:05:24"
"277","thunder_chik","Utah","Stanford","42","7","23",NULL,"24",NULL,"8","2022-11-11 10:32:49"
"284","Durty Nelly","Utah","Stanford","42","7","44",NULL,"13",NULL,"40","2022-11-10 11:52:11"
"302","JJJ","Utah","Stanford","42","7","28",NULL,"31",NULL,"5","2022-11-11 17:56:29"
"382","Phogge","Utah","Stanford","42","7","42","Billy The Hill McGill","3","John Revelli","49","2022-11-10 04:34:58"
"426","Section QQ","Utah","Stanford","42","7","52",NULL,"7",NULL,"37","2022-11-10 08:32:02"
"453","Snorlax94","Utah","Stanford","42","7","17","Utah Utes","19","Cardinal Brutes","7","2022-11-10 16:00:46"
"473","CardinalSagehen","Utah","Stanford","42","7","24",NULL,"27",NULL,"5","2022-11-11 11:32:30"
"515","qwerty49","Utah","Stanford","42","7","41",NULL,"13",NULL,"41","2022-11-11 19:08:38"
"558","PAsportsfan","Utah","Stanford","42","7","40",NULL,"10",NULL,"44","2022-11-11 23:33:00"
"604","La Jetee","Utah","Stanford","42","7","52",NULL,"9",NULL,"29","2022-11-10 08:36:59"
"626","JohnVernon","Utah","Stanford","42","7","52",NULL,"13",NULL,"22","2022-11-10 17:22:52"
"706","PVTree","Utah","Stanford","42","7","49","Osmonds","50","El Arbol","2","2022-11-12 19:42:32"
"725","chrisk","Utah","Stanford","42","7","42",NULL,"21",NULL,"28","2022-11-10 22:58:42"
"819","ADPinWDC","Utah","Stanford","42","7","45","UTES","13","Former INDIANS","39","2022-11-12 09:40:48"
"842","Austroturf","Utah","Stanford","42","7","45",NULL,"13",NULL,"39","2022-11-10 17:00:48"
"1002","MVDan","Utah","Stanford","42","7","52",NULL,"20",NULL,"19","2022-11-10 17:20:21"
"1036","Brickcity","Utah","Stanford","42","7","63",NULL,"3",NULL,"18","2022-11-10 11:43:09"
"1209","MV72018","Utah","Stanford","42","7","42","Cute Utes","10","Non-executers","50","2022-11-10 16:36:12"
"1244","thedish","Utah","Stanford","42","7","52",NULL,"17",NULL,"20","2022-11-12 10:43:59"
"1379","skip75","Utah","Stanford","42","7","49","Lee Grosscup","7","Dick Norman","45","2022-11-12 20:22:27"
"10","82lsju","California","Stanford","27","20","10",NULL,"12",NULL,"6","2022-11-16 15:04:11"
"29","JeffInCorvallis","California","Stanford","27","20","24",NULL,"19",NULL,"59","2022-11-18 00:48:28"
"33","Mick","California","Stanford","27","20","17","Geographically further West","14","Geographically further East","48","2022-11-17 08:39:49"
"51","dabigv13","California","Stanford","27","20","24",NULL,"30",NULL,"15","2022-11-19 16:22:14"
"58","george","California","Stanford","27","20","21",NULL,"14",NULL,"52","2022-11-16 17:00:59"
"66","pefloresjr","California","Stanford","27","20","20",NULL,"23",NULL,"17","2022-11-18 01:27:21"
"83","BrevinsBest","California","Stanford","27","20","3",NULL,"0",NULL,"43","2022-11-16 12:45:08"
"90","CompSci87","California","Stanford","27","20","2",NULL,"4",NULL,"2","2022-11-16 14:07:24"
"101","Hurlburt88","California","Stanford","27","20","13","weaker","17","weak","11","2022-11-16 12:56:05"
"125","vataha","California","Stanford","27","20","9","Brennen Scarlett","13","Brennen Scarlett","6","2022-11-17 01:04:09"
"133","pokey","California","Stanford","27","20","12",NULL,"24",NULL,"10","2022-11-17 19:31:28"
"146","triangle2","California","Stanford","27","20","18",NULL,"11",NULL,"45","2022-11-19 15:43:58"
"196","Langdude","California","Stanford","27","20","24",NULL,"17",NULL,"58","2022-11-19 00:24:29"
"211","martyup","California","Stanford","27","20","5","3-7 Blue","6","3-7 Red","3","2022-11-16 22:55:15"
"243","Papa John","California","Stanford","27","20","19","Cal's score in 1982","20","Stanford's score in 1982","24","2022-11-17 00:31:20"
"254","tcufrog","California","Stanford","27","20","21",NULL,"13",NULL,"51","2022-11-16 18:16:59"
"265","bl82","California","Stanford","27","20","24",NULL,"17",NULL,"58","2022-11-17 14:48:03"
"267","cardcrimson","California","Stanford","27","20","20",NULL,"13",NULL,"50","2022-11-18 19:12:34"
"277","thunder_chik","California","Stanford","27","20","21",NULL,"23",NULL,"18","2022-11-17 18:27:34"
"284","Durty Nelly","California","Stanford","27","20","17",NULL,"30",NULL,"9","2022-11-16 18:53:55"
"302","JJJ","California","Stanford","27","20","19","Same “correct” score as 40yrs ago","20","Same score as 40yrs ago","24","2022-11-16 19:23:38"
"382","Phogge","California","Stanford","27","20","16","Dale Rubin","17","Dale Rubin","14","2022-11-17 01:55:04"
"426","Section QQ","California","Stanford","27","20","21",NULL,"6",NULL,"44","2022-11-16 22:40:01"
"453","Snorlax94","California","Stanford","27","20","24","Weenies","25","The Cardinal","19","2022-11-19 06:37:34"
"473","CardinalSagehen","California","Stanford","27","20","20",NULL,"23",NULL,"17","2022-11-17 02:02:47"
"515","qwerty49","California","Stanford","27","20","10",NULL,"13",NULL,"7","2022-11-16 14:08:26"
"558","PAsportsfan","California","Stanford","27","20","20",NULL,"16",NULL,"53","2022-11-19 03:39:07"
"604","La Jetee","California","Stanford","27","20","7",NULL,"10",NULL,"4","2022-11-18 08:46:58"
"706","PVTree","California","Stanford","27","20","20","Weenies","27","Árboles","14","2022-11-19 09:55:13"
"725","chrisk","California","Stanford","27","20","14",NULL,"17",NULL,"12","2022-11-17 18:49:54"
"819","ADPinWDC","California","Stanford","27","20","27","Dingy BEARS","13","Sad TREES","59","2022-11-19 15:17:33"
"826","CowboyIndian","California","Stanford","27","20","2",NULL,"3",NULL,"1","2022-11-16 14:17:37"
"842","Austroturf","California","Stanford","27","20","17",NULL,"13",NULL,"47","2022-11-17 15:22:34"
"1002","MVDan","California","Stanford","27","20","10",NULL,"16",NULL,"8","2022-11-16 15:24:48"
"1036","Brickcity","California","Stanford","27","20","26",NULL,"13",NULL,"55","2022-11-16 19:01:36"
"1209","MV72018","California","Stanford","27","20","17","Bumbling Orsi","16","Rotting Trees","50","2022-11-16 15:45:54"
"1379","skip75","California","Stanford","27","20","17","Mario Savio","13","David Harris","47","2022-11-16 16:16:19"
"1425","marchballer","California","Stanford","27","20","27",NULL,"9",NULL,"57","2022-11-16 14:54:02"
"10","82lsju","Stanford","BYU","26","35","15","Karty 5 for 5","28","the other team","30","2022-11-23 18:09:45"
"29","JeffInCorvallis","Stanford","BYU","26","35","20",NULL,"27",NULL,"39","2022-11-25 01:18:10"
"31","Leftcoast","Stanford","BYU","26","35","24","NorCal Cardinal(s)","20","Utah Saints","6","2022-11-26 22:25:58"
"33","Mick","Stanford","BYU","26","35","17",NULL,"30",NULL,"39","2022-11-24 12:10:46"
"46","akiddoc","Stanford","BYU","26","35","31",NULL,"23",NULL,"6","2022-11-25 03:28:43"
"58","george","Stanford","BYU","26","35","12",NULL,"28",NULL,"28","2022-11-25 21:24:29"
"66","pefloresjr","Stanford","BYU","26","35","27",NULL,"24",NULL,"10","2022-11-26 02:42:01"
"101","Hurlburt88","Stanford","BYU","26","35","24","Offensive Explosion!","23","Mistake-prone","9","2022-11-24 12:28:32"
"125","vataha","Stanford","BYU","26","35","16","Restless","24","Young","28","2022-11-26 19:47:58"
"133","pokey","Stanford","BYU","26","35","23",NULL,"22",NULL,"7","2022-11-24 14:09:29"
"196","Langdude","Stanford","BYU","26","35","23",NULL,"31",NULL,"44","2022-11-25 17:31:42"
"211","martyup","Stanford","BYU","26","35","50","Shawful Shame","30","Young's","2","2022-11-24 11:09:18"
"254","tcufrog","Stanford","BYU","26","35","16",NULL,"31",NULL,"39","2022-11-25 09:21:41"
"265","bl82","Stanford","BYU","26","35","14",NULL,"38",NULL,"35","2022-11-23 16:13:58"
"267","cardcrimson","Stanford","BYU","26","35","16",NULL,"31",NULL,"39","2022-11-23 08:55:30"
"277","thunder_chik","Stanford","BYU","26","35","24","Dentro-centrics","23","Cosmo-politans","9","2022-11-23 18:07:11"
"284","Durty Nelly","Stanford","BYU","26","35","21",NULL,"40",NULL,"41","2022-11-23 06:17:23"
"288","murky","Stanford","BYU","26","35","31",NULL,"10",NULL,"1","2022-11-25 08:03:40"
"302","JJJ","Stanford","BYU","26","35","31",NULL,"21",NULL,"4","2022-11-24 16:45:42"
"328","CPSteeple","Stanford","BYU","26","35","17",NULL,"28",NULL,"34","2022-11-25 15:02:05"
"382","Phogge","Stanford","BYU","26","35","3","Brigham Anderson","21","Brigham Young","23","2022-11-23 07:08:04"
"426","Section QQ","Stanford","BYU","26","35","21",NULL,"27",NULL,"40","2022-11-22 23:49:56"
"453","Snorlax94","Stanford","BYU","26","35","13",NULL,"38",NULL,"34","2022-11-25 02:21:54"
"473","CardinalSagehen","Stanford","BYU","26","35","28",NULL,"27",NULL,"11","2022-11-23 18:16:00"
"515","qwerty49","Stanford","BYU","26","35","16",NULL,"24",NULL,"28","2022-11-23 15:10:25"
"558","PAsportsfan","Stanford","BYU","26","35","13",NULL,"30",NULL,"30","2022-11-26 17:12:54"
"706","PVTree","Stanford","BYU","26","35","21","Los Arboles","17","Osmonds II","3","2022-11-26 13:05:07"
"725","chrisk","Stanford","BYU","26","35","20",NULL,"24",NULL,"32","2022-11-24 14:57:12"
"819","ADPinWDC","Stanford","BYU","26","35","20","Bent Trees","34","BYUsers","44","2022-11-24 23:33:15"
"842","Austroturf","Stanford","BYU","26","35","16",NULL,"35",NULL,"45","2022-11-24 04:45:23"
"1002","MVDan","Stanford","BYU","26","35","16",NULL,"24",NULL,"28","2022-11-23 11:15:32"
"1099","Crafter Artisan","Stanford","BYU","26","35","23","Hates fun","33","Fun gets you kicked out of school","45","2022-11-24 17:27:53"
"1209","MV72018","Stanford","BYU","26","35","17","Boring Predictables","27","Missionary Positioners","32","2022-11-22 23:30:52"
"1379","skip75","Stanford","BYU","26","35","23","Robber Barons","34","Polygamists","46","2022-11-26 20:49:51"
"1387","footandballtorture","Stanford","BYU","26","35","22","puss","56","boots","24","2022-11-26 08:27:39"
